                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82306,                 10.822,                 0.6911,                 4.9086,                 1.3546,                0.00714,                0.48436,                0.01208,                0.00956,                      0,                      0,                      0,                      0,                0.74721,                 10.104,                0.69623,                 3.9472,                 1.3557,             2.6959e-05,             2.6959e-05,             2.6959e-05
                      2,                0.77999,                 9.3756,                0.62237,                 4.4095,                 1.3033,                0.00714,                0.89962,                 0.0224,                 0.0183,                0.31674,                0.00104,                0.00029,                  4e-05,                0.73115,                 8.3329,                0.62378,                 3.4874,                  1.312,             5.1288e-05,             5.1288e-05,             5.1288e-05
                      3,                0.79594,                 8.2802,                0.56062,                 4.0657,                 1.2973,                0.00719,                0.97778,                0.02633,                0.02138,                0.00128,                0.18381,                0.00233,                0.00045,                0.70622,                 6.9012,                0.57715,                 3.3189,                 1.2803,             7.2944e-05,             7.2944e-05,             7.2944e-05
                      4,                0.78107,                 7.5142,                0.52773,                 3.8615,                 1.2749,                0.09932,                0.14411,                0.03578,                0.02962,                0.29493,                0.01879,                0.00794,                0.00196,                0.67074,                 6.1863,                0.57062,                 3.2287,                 1.2389,             6.8972e-05,             6.8972e-05,             6.8972e-05
                      5,                0.76487,                  6.995,                0.50888,                 3.7243,                 1.2561,                0.49157,                0.05684,                0.04969,                0.04217,                0.49467,                0.02063,                0.01514,                0.00375,                 0.6614,                 5.7987,                0.55385,                 3.1548,                  1.236,             6.8972e-05,             6.8972e-05,             6.8972e-05
                      6,                0.74859,                 6.7073,                0.49499,                  3.613,                 1.2416,                0.35435,                0.10591,                0.05741,                0.04926,                0.35027,                0.04633,                0.01829,                 0.0043,                 0.6374,                 5.4927,                0.54633,                 3.0428,                 1.2149,             6.4962e-05,             6.4962e-05,             6.4962e-05
                      7,                0.73788,                 6.4582,                0.48265,                 3.5097,                 1.2373,                0.44789,                0.10836,                0.07318,                0.06338,                0.43447,                0.06804,                0.03133,                0.00802,                0.63414,                 5.2396,                0.53714,                 2.9601,                 1.2167,             6.0952e-05,             6.0952e-05,             6.0952e-05
                      8,                0.72566,                 6.2823,                0.47268,                 3.4147,                  1.225,                 0.3337,                 0.1418,                0.09443,                0.08126,                0.32668,                0.08209,                0.04473,                0.01111,                0.62989,                 5.0946,                0.53369,                 2.8719,                 1.2068,             5.6943e-05,             5.6943e-05,             5.6943e-05
                      9,                0.72597,                 6.1475,                0.46486,                 3.3325,                 1.2222,                 0.2992,                0.17318,                0.10267,                0.08818,                0.31108,                 0.1115,                 0.0592,                0.01648,                0.62642,                 4.9555,                0.51942,                 2.7837,                 1.2006,             5.2933e-05,             5.2933e-05,             5.2933e-05
                     10,                0.72196,                 6.0372,                0.45633,                 3.2618,                 1.2197,                0.31377,                0.18019,                 0.1202,                0.10286,                0.32342,                0.10863,                0.06301,                0.01753,                0.62158,                 4.8276,                0.51705,                 2.7194,                 1.1925,             4.8924e-05,             4.8924e-05,             4.8924e-05
